claim,sub_claims,atomicity_human1,atomicity_human2,sufficiency_human1,sufficiency_human2,fabrication_human1,fabrication_human2,coverage_human1,coverage_human2,redundancy_human1,redundancy_human2
"Amanda Bauer grew up in America, she had an interest in astronomy and attended the University of Cincinnati whose nickname is Bearcats.","[""Amanda Bauer grew up in America"", ""Amanda Bauer had an interest in astronomy"", ""Amanda Bauer attended the University of Cincinnati""]","[3,3,3]","[3, 3, 3]","[3,3,3]","[3, 3, 3]","[1,1,1]","[1, 1, 1]",1,1,1,1
"Amanda Bauer grew up in America, she had an interest in astronomy and attended the University of Cincinnati whose nickname is Bearcats.","[""Amanda Bauer grew up in Ohio, America"", ""Amanda Bauer attended the University of Cincinnati"", ""The University of Cincinnati's nickname is Bearcats""]","[3,3,3]","[2, 3, 3]","[3,3,3]","[3, 3, 3]","[2,1,1]","[1, 1, 1]",2,1,1,1
NGC 5866 is an asterism and not a constellation.,"[""NGC 5866 is an asterism"", ""NGC 5866 is not a constellation""]","[3,3]","[3, 3]","[3,3]","[3, 3]","[1,1]","[1, 1]",3,3,1,1
NGC 5866 is an asterism and not a constellation.,"[""NGC 5866 is an asterism, not a constellation""]",[2],[2],[3],[3],[1],[1],3,3,1,1
NGC 5866 is an asterism and not a constellation.,"[""NGC 5866, of the Draco constellation, is an asterism"", ""NGC 5866 is not a constellation""]","[3,3]","[2, 3]","[3,3]","[3, 3]","[2,1]","[3, 1]",3,3,1,1
NGC 5866 is an asterism and not a constellation.,"[""5866 is an asterism"", ""5866 is not a constellation""]","[3,3]","[3, 3]","[1,1]","[1, 1]","[1,1]","[3, 3]",3,2,1,1
NGC 5866 is an asterism and not a constellation.,"[""NGC 5866 is not a constellation""]",[3],[3],[3],[3],[1],[1],2,1,1,1
NGC 5866 is an asterism and not a constellation.,"[""NGC 5866 is an asterism"", ""NGC 5866 is not a constellation"", ""NGC 5866 is not a constellation""]","[3,3,3]","[3, 3, 3]","[3,3,3]","[3, 3, 3]","[1,1,1]","[1, 1, 1]",3,3,2,3
"Food for Animals is an American hip hop group formed in 2001 that focuses on underground hip hop which is often characterized by socially conscious, positive, or anti-commercial lyrics.","[""Food for Animals is an American hip hop group formed in 2001"", ""Food for Animals focuses on underground hip hop"", ""Underground hip hop is often characterized by socially conscious, positive, or anti-commercial lyrics""]","[3,3,3]","[2, 3, 2]","[3,3,3]","[3, 3, 3]","[1,1,1]","[1, 1, 1]",3,3,1,1
"Food for Animals is an American hip hop group formed in 2001 that focuses on underground hip hop which is often characterized by socially conscious, positive, or anti-commercial lyrics.","[""Food for Animals is an American hip hop group formed in 2001which focuses on underground hip hop"", ""Underground hip hop is often characterized by socially conscious, positive, or anti-commercial lyrics""]","[2,3]","[1, 2]","[3,3]","[3, 3]","[1,1]","[1, 1]",3,3,1,1
"Food for Animals is an American hip hop group formed in 2001 that focuses on underground hip hop which is often characterized by socially conscious, positive, or anti-commercial lyrics.","[""Food for Animals is an American hip hop group formed in 2001 in Washington D.C."", ""Food for Animals focuses on underground hip hop"", ""Underground hip hop is often characterized by socially conscious, positive, or anti-commercial lyrics""]","[2,3,3]","[2, 3, 2]","[3,3,3]","[3, 3, 3]","[2,1,1]","[3, 1, 1]",3,3,1,1
"Food for Animals is an American hip hop group formed in 2001 that focuses on underground hip hop which is often characterized by socially conscious, positive, or anti-commercial lyrics.","[""Food for Animals is an American hip hop group formed in 2001"", ""They focuses on underground hip hop"", ""Underground hip hop is characterized by""]","[3,3,3]","[2, 3, 3]","[3,1,1]","[3, 1, 1]","[1,1,1]","[1, 1, 1]",3,2,1,1
"Food for Animals is an American hip hop group formed in 2001 that focuses on underground hip hop which is often characterized by socially conscious, positive, or anti-commercial lyrics.","[""Food for Animals focuses on underground hip hop"", ""Underground hip hop is often characterized by socially conscious, positive, or anti-commercial lyrics""]","[3,3]","[3, 2]","[3,3]","[3, 3]","[1,1]","[1, 1]",2,1,1,1
"Food for Animals is an American hip hop group formed in 2001 that focuses on underground hip hop which is often characterized by socially conscious, positive, or anti-commercial lyrics.","[""Food for Animals in an American hip hop group"", ""Food for Animals is an American hip hop group formed in 2001"", ""Food for Animals focuses on underground hip hop"", ""Underground hip hop is often characterized by socially conscious, positive, or anti-commercial lyrics"", ""Underground hip hop is often characterized by anti-commercial lyrics""]","[3,3,3,3,3]","[3, 2, 3, 2, 3]","[3,3,3,3,3]","[3, 3, 2, 3, 3]","[1,1,1,1,1]","[1, 1, 1, 1, 1]",3,3,2,3
"An American stand-up comedian, screenwriter and actor who created the false persona ""Marty Power"", became famous for his role in the Scream film series but was nominated for Worst Actor for his performance in Son of the Mask., was Jamie Kennedy.","[""The individual is an American stand-up comedian, screenwriter, and actor"", ""The individual created the false persona 'Marty Power'"", ""The individual became famous for his role in the Scream film series"", ""The individual was nominated for Worst Actor for his performance in Son of the Mask"", ""The individual's name is Jamie Kennedy""]","[2,3,3,3,3]","[2, 3, 3, 3, 3]","[1,1,1,1,2]","[2, 2, 2, 2, 3]","[1,1,1,1,1]","[1,1,1,1,1]",3,3,1,1
"An American stand-up comedian, screenwriter and actor who created the false persona ""Marty Power"", became famous for his role in the Scream film series but was nominated for Worst Actor for his performance in Son of the Mask., was Jamie Kennedy.","[""The individual is an American stand-up comedian, screenwriter, and actor"", ""The individual created the false persona 'Marty Power’ and became famous for his role in the Scream film series"", ""The individual was nominated for Worst Actor for his performance in Son of the Mask"", ""The individual's name is Jamie Kennedy""]","[2,2,3,3]","[2, 1, 3, 3]","[3,3,3,3]","[2, 2, 2, 3]","[1,1,1,1]","[1, 1, 1, 1]",3,3,1,1
"An American stand-up comedian, screenwriter and actor who created the false persona ""Marty Power"", became famous for his role in the Scream film series but was nominated for Worst Actor for his performance in Son of the Mask., was Jamie Kennedy.","[""The individual is an American stand-up comedian, screenwriter, and actor"", ""The individual created the false persona 'Marty Power'"", ""The individual became famous for his role in the Scream film series which starred Drew Barrymore"", ""The individual was nominated for Worst Actor for his performance in Son of the Mask"", ""The individual's name is Jamie Kennedy""]","[2,3,2,3,3]","[2, 3, 1, 3, 3]","[3,3,3,3,3]","[2, 2, 2, 2, 3]","[1,1,2,1,1]","[1, 1, 3, 1, 1]",3,3,1,1
"An American stand-up comedian, screenwriter and actor who created the false persona ""Marty Power"", became famous for his role in the Scream film series but was nominated for Worst Actor for his performance in Son of the Mask., was Jamie Kennedy.","[""The individual is an American stand-up comedian, screenwriter, and actor"", ""The individual was nominated for Worst Actor for his performance in Son of the Mask"", ""The individual's name is Jamie Kennedy""]","[2,3,3]","[2, 3, 3]","[3,3,3]","[2, 2, 3]","[1,1,1]","[1, 1, 1]",2,2,1,1
"An American stand-up comedian, screenwriter and actor who created the false persona ""Marty Power"", became famous for his role in the Scream film series but was nominated for Worst Actor for his performance in Son of the Mask., was Jamie Kennedy.","[""The individual is an American stand-up comedian, screenwriter, and actor"", ""The individual created the false persona 'Marty Power'"", ""The individual became famous for his role in the Scream film series"", ""The individual was nominated for Worst Actor for his performance in Son of the Mask"", ""The individual's name is Jamie Kennedy"", ""The individual is an American actor""]","[2,3,3,3,3,3]","[2, 3, 3, 3, 3, 3]","[3,3,3,3,3,3]","[2, 2, 2, 2, 3, 2]","[1,1,1,1,1,1]","[1, 1, 1, 1, 1, 1]",3,3,2,2
"An American stand-up comedian, screenwriter and actor who created the false persona ""Marty Power"", became famous for his role in the Scream film series but was nominated for Worst Actor for his performance in Son of the Mask., was Jamie Kennedy.","[""The individual is an American stand-up comedian, screenwriter, and actor"", ""The individual created the false persona 'Marty Power’ and became famous for his role in the Scream film series"", ""The individual was nominated for Worst Actor for his performance in Son of the Mask"", ""The individual's name is Jamie Kennedy"", ""James Kennedy is a stand up comedian""]","[2, 3, 3, 3, 3]","[2, 3, 3, 3, 3]","[2, 2, 2, 2, 3]","[2, 2, 2, 2, 3]","[1,1,1,1,1]","[1,1,1,1,1]",3,3,3,3
"Democratic Gary Johnson won the most vote with 232,945 votes.","[""Democratic Gary Johnson won the most vote"", ""Gary Johnson received 232,945 votes""]","[3,3]","[3, 3]","[3,3]","[2, 2]","[1,1]","[1, 1]",3,3,1,1
"Democratic Gary Johnson won the most vote with 232,945 votes.","[""Democratic Gary Johnson won the most vote with 232,945 votes""]",[1],[2],[3],[2],[1],[1],3,3,1,1
"Democratic Gary Johnson won the most vote with 232,945 votes.","[""Democratic Gary Johnson won the most vote""]",[2],[3],[3],[2],[1],[1],1,1,1,1
"Democratic Gary Johnson won the most vote with 232,945 votes.","[""Democratic Gary Johnson won the most vote"", ""Gary Johnson received 232,945 votes"", ""Democratic Gary Johnson won the most vote with 232,945 votes""]","[2,2,2]","[3, 3, 2]","[3,3,3]","[2, 2, 2]","[1,1,1]","[1, 1, 1]",3,3,2,3
"Democratic Gary Johnson won the most vote with 232,945 votes.","[""Democratic Gary Johnson won the most vote in 2012"", ""Gary Johnson received 232,945 votes""]","[2,3]","[2, 3]","[3,3]","[3, 2]","[1,1]","[2, 1]",3,3,1,1
"Democratic Gary Johnson won the most vote with 232,945 votes.","[""Democratic Gary Johnson won""]",[3],[3],[1],[1],[1],[1],1,1,1,1
Manituana is a 396 page novel written by Wu Ming (a collection of five authors) published in 2009.,"[""Manituana is a 396 page novel"", ""Manituana was written by Wu Ming (a collection of five authors)"", ""Manituana was published in 2009""]","[3,2,3]","[3, 2, 3]","[3,3,3]","[3, 3, 2]","[1,1,1]","[1, 1, 1]",3,3,1,1
Manituana is a 396 page novel written by Wu Ming (a collection of five authors) published in 2009.,"[""Manituana is a 396 page novel written by Wu Ming (a collection of five authors) and was published in 2009""]",[1],[1],[3],[3],[1],[1],3,3,1,1
Manituana is a 396 page novel written by Wu Ming (a collection of five authors) published in 2009.,"[""Manituana is a 396 page novel"", ""It was written by Wu Ming (a collection of five authors)"", ""It was published in 2009""]","[3,2,3]","[3, 2, 3]","[3,1,1]","[3, 3, 1]","[1,1,1]","[1, 1, 1]",3,3,1,1
Manituana is a 396 page novel written by Wu Ming (a collection of five authors) published in 2009.,"[""Manituana is a 396 page novel"", ""Manituana was written by Wu Ming (a collection of five authors)"", ""Manituana was published in 2009 in the USA""]","[3,2,3]","[3, 2, 2]","[3,3,3]","[3, 3, 2]","[1,1,2]","[1, 1, 3]",3,3,1,1
Manituana is a 396 page novel written by Wu Ming (a collection of five authors) published in 2009.,"[""Manituana is a 396 page novel"", ""Manituana was published in 2009""]","[3,3]","[3, 3]","[3,3]","[3, 2]","[1,1]","[1, 1]",1,1,1,1
Manituana is a 396 page novel written by Wu Ming (a collection of five authors) published in 2009.,"[""Manituana is a novel"", ""Manituana is a 396 page novel"", ""Manituana was written by Wu Ming (a collection of five authors)"", ""Manituana was published in 2009""]","[3,3,2,3]","[3, 3, 2, 3]","[3,3,3,3]","[3, 3, 3, 2]","[1,1,1,1]","[1, 1, 1, 1]",3,3,2,2
The Neolithic of Jeitun type is the earliest settlement of Ulug-depe followed by Proto-Chalcolithic then Early-Chalcolithic.,"[""The Neolithic of Jeitun type is the earliest settlement of Ulug-depe"", ""Ulug-depe is followed by Proto-Chalcolithic"", ""Proto-Chalcolithic is followed by Early-Chalcolithic""]","[3,3,3]","[3, 3, 3]","[3,1,1]","[3, 2, 2]","[1,3,1]","[1, 1, 1]",3,3,1,1
The Neolithic of Jeitun type is the earliest settlement of Ulug-depe followed by Proto-Chalcolithic then Early-Chalcolithic.,"[""The Neolithic of Jeitun type is the earliest settlement of Ulug-depe, while the Proto-Chalcolithic is the second earliest settlement of Ulug-depe"",""The Early-Chalcolithic is the third earliest settlement of Ulug-depe""]","[1, 3]","[1, 3]","[3, 3]","[3, 3]","[1, 1]","[1, 1]",3,3,1,1
The Neolithic of Jeitun type is the earliest settlement of Ulug-depe followed by Proto-Chalcolithic then Early-Chalcolithic.,"[""The Neolithic of Jeitun type is the earliest settlement of Ulug-depe"",""It is the second earliest settlement of Ulug-depe"",""The Early-Chalcolithic is the third earliest settlement""]","[3, 3, 3]","[3, 3, 3]","[3, 1, 1]","[3, 1, 1]","[1, 1, 1]","[1, 1, 1]",3,3,1,1
The Neolithic of Jeitun type is the earliest settlement of Ulug-depe followed by Proto-Chalcolithic then Early-Chalcolithic.,"[""The Neolithic of Jeitun type is the earliest settlement of Ulug-depe in Turkmenistan"",""The Proto-Chalcolithic is the second earliest settlement of Ulug-depe in Turkmenistan"",""The Early-Chalcolithic is the third earliest settlement of Ulug-depe in Turkmenistan""]","[3, 3, 3]","[3, 3, 3]","[3, 3, 3]","[3, 3, 3]","[2, 2, 2]","[2, 2, 2]",3,3,1,1
The Neolithic of Jeitun type is the earliest settlement of Ulug-depe followed by Proto-Chalcolithic then Early-Chalcolithic.,"[""The Neolithic of Jeitun type is the earliest settlement of Ulug-depe""]",[3],[3],[3],[3],[1],[1],1,1,1,1
The Neolithic of Jeitun type is the earliest settlement of Ulug-depe followed by Proto-Chalcolithic then Early-Chalcolithic.,"[""The Neolithic of Jeitun type is the earliest settlement of Ulug-depe"",""The Proto-Chalcolithic is the second earliest settlement of Ulug-depe"",""The Early-Chalcolithic is the third earliest settlement of Ulug-depe""]","[3, 3, 3]","[3, 3, 3]","[3, 3, 3]","[3, 3, 3]","[1, 1, 1]","[1, 1, 1]",3,3,1,1
"The 1998 Mionica earthquake was a 5.5 Mw earthquake that occurred on September 29, 1998 in Serbia, leaving  dead and 17 injured.","[""The 1998 Mionica earthquake was a 5.5 Mw earthquake"", ""The 1998 Mionica earthquake occurred on September 29, 1998"", ""The 1998 Mionica earthquake occurred in Serbia"", ""The 1998 Mionica earthquake left dead"", ""The 1998 Mionica earthquake left 17 injured""]","[3, 3, 3, 3, 3]","[3, 3, 3, 3, 3]","[3, 3, 3, 3, 3]","[3, 3, 3, 2, 3]","[1,1,1,1,1]","[1, 1, 1, 1, 1]",3,3,1,1
"The 1998 Mionica earthquake was a 5.5 Mw earthquake that occurred on September 29, 1998 in Serbia, leaving  dead and 17 injured.","[""The 1998 Mionica earthquake was a 5.5 Mw earthquake which occurred in Serbia on September 29, 1998"", , ""The 1998 Mionica earthquake left dead"", ""The 1998 Mionica earthquake left 17 injured""]","[2, 3, 3]","[2, 3, 3]","[3,3,3]","[3,3,3]","[1,1,1]","[1,1,1]",3,3,1,1
"The 1998 Mionica earthquake was a 5.5 Mw earthquake that occurred on September 29, 1998 in Serbia, leaving  dead and 17 injured.","[""The earthquake was a 5.5 Mw earthquake"", ""The earthquake occurred on September 29, 1998"", ""The 1998 Mionica earthquake occurred in Serbia"", ""The 1998 Mionica earthquake left dead"", ""The 1998 Mionica earthquake left 17 injured""]","[3, 3, 3, 3, 3]","[3, 3, 3, 3, 3]","[1, 1, 3, 3, 3]","[1, 1, 3, 2, 3]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",3,3,1,1
"The 1998 Mionica earthquake was a 5.5 Mw earthquake that occurred on September 29, 1998 in Serbia, leaving  dead and 17 injured.","[""The 1998 Mionica earthquake was a 5.5 Mw earthquake on the Richter Scale"", ""The 1998 Mionica earthquake occurred on September 29, 1998"", ""The 1998 Mionica earthquake occurred in Serbia in the Sarajevo district"", ""The 1998 Mionica earthquake left dead"", ""The 1998 Mionica earthquake left 17 injured""]","[3, 3, 3, 3, 3]","[3, 3, 3, 3, 3]","[3, 3, 3, 3, 3]","[3, 3, 3, 2, 3]","[3, 1, 3, 1, 1]","[3, 1, 3, 1, 1]",3,3,1,1
"The 1998 Mionica earthquake was a 5.5 Mw earthquake that occurred on September 29, 1998 in Serbia, leaving  dead and 17 injured.","[""The 1998 Mionica earthquake was a 5.5 Mw earthquake"", ""The 1998 Mionica earthquake left 17 injured""]","[3, 3]","[3, 3]","[3, 3]","[3, 3]","[1,1]","[1,1]",1,1,1,1
"The 1998 Mionica earthquake was a 5.5 Mw earthquake that occurred on September 29, 1998 in Serbia, leaving dead and 17 injured.","[""The 1998 Mionica earthquake was a 5.5 Mw earthquake in Serbia"", ""The 1998 Mionica earthquake occurred on September 29, 1998 in Serbia"", ""The 1998 Mionica earthquake occurred in Serbia"", ""The 1998 Mionica earthquake left dead"", ""The 1998 Mionica earthquake left 17 injured""]","[2, 2, 3, 3, 3]","[3, 3, 3, 3, 3]","[3, 3, 3, 3, 3]","[3, 3, 3, 2, 3]","[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",3,3,2,2
"The Parish of Bomgadah is located on the Silver City Highway, and its climate is tropical with a verdant and hilly landscape.","[""The Parish of Bomgadah is located on the Silver City Highway"",""The climate of the Parish of Bomgadah is tropical"",""The landscape of the Parish of Bomgadah is verdant"",""The landscape of the Parish of Bomgadah is hilly""]","[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]","[1, 1, 1, 1]","[1, 1, 1, 1]",3,3,1,1
"In the 1990 (first all-German election since, Nazi show election in April 1938), 1994 (This elected Bundestag was largest in history until 2017, numbering 672 members) and 1998 elections in Berlin Marzahn - Hellersdorf Gregor Gysi of the PDS (Party of Democratic Socialism) party was succeeded by fellow PDS member Petra Pau from 2002 - 2017.","[""The 1990 election was the first all-German election since the Nazi show election in April 1938."",""The 1994 Bundestag election resulted in the largest Bundestag in history at the time, numbering 672 members."",""The Bundestag elected in 1994 remained the largest in history until 2017."",""In the 1990, 1994, and 1998 elections in the Berlin Marzahn-Hellersdorf , Gregor Gysi of the Party of Democratic Socialism (PDS) was elected."",""From 2002 to 2017, Gregor Gysi was succeeded by Petra Pau in the Berlin Marzahn-Hellersdorf"",""Petra Pau was a member of PDS, during 2002 to 2017""]","[3, 2, 3, 1, 3, 3]","[3, 2, 3, 1, 2, 3]","[3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3]","[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]",3,3,1,1
"Amanda Bauer grew up in America, she had an interest in astronomy and attended the University of Cincinnati whose nickname is Bearcats.","[""Amanda Bauer grew up in America"",""Amanda Bauer had an interest in astronomy"",""Amanda Bauer attended the University of Cincinnati"",""The University of Cincinnati’s nickname is Bearcats""]","[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]","[3, 3, 3, 3]","[1, 1, 1, 1]","[1, 1, 1, 1]",3,3,1,1
